beat_index,true_class,predicted_class,inference_us,filter_us
0,0,0,59403,96
1,1,1,59606,97
2,1,1,59599,98
3,0,0,59602,98
4,0,0,59616,98
5,0,0,59589,97
6,2,2,59642,98
7,0,0,59625,97
8,0,0,59627,97
9,0,0,59618,98
10,0,0,59609,97
11,0,0,59621,97
12,2,2,59636,98
13,0,0,59617,97
14,0,0,59617,98
15,0,0,59620,98
16,0,0,59629,98
17,0,0,59588,98
18,2,2,59598,97
19,0,0,59601,98
20,0,0,59613,98
21,0,0,59612,98
22,2,2,59642,98
23,0,0,59620,98
24,0,0,59611,97
25,2,2,59595,97
26,0,0,59617,98
27,0,0,59612,98
28,0,0,59619,97
29,2,2,59624,97
30,0,0,59624,98
31,0,0,59597,103
32,0,0,59627,97
33,0,0,59617,97
34,0,0,59625,98
35,0,0,59614,98
36,0,0,59619,98
37,0,0,59615,97
38,3,3,59601,97
39,2,2,59629,97
40,0,0,59629,98
41,0,0,59614,98
42,0,0,59641,98
43,0,0,59601,98
44,0,0,59609,98
45,4,4,59612,98
46,0,0,59620,98
47,0,0,59608,98
48,0,0,59618,97
49,0,0,59611,97
50,0,0,59621,98
51,4,4,59604,98
52,0,0,59630,97
53,0,0,59612,98
54,0,0,59627,98
55,0,0,59609,98
56,0,0,59618,98
57,0,0,59625,98
58,0,0,59605,98
59,0,0,59596,98
60,0,0,59604,97
61,0,0,59616,98
62,0,0,59627,98
63,0,0,59636,98
64,0,0,59596,98
65,0,0,59597,98
66,0,0,59612,98
67,0,0,59602,98
68,0,0,59629,97
69,0,0,59617,97
70,0,0,59599,98
71,0,0,59571,98
72,0,0,59595,98
73,0,0,59602,98
74,0,0,59621,98
75,1,1,59606,98
76,0,0,59619,98
77,0,0,59638,98
78,4,4,59624,97
79,0,0,59621,98
80,0,0,59604,98
81,0,0,59603,98
82,0,0,59627,98
83,0,0,59618,98
84,0,0,59629,98
85,2,2,59621,97
86,0,0,59593,98
87,0,0,59603,98
88,1,1,59603,97
89,0,0,59588,98
90,2,2,59644,98
91,0,0,59613,97
92,0,0,59612,98
93,0,0,59603,97
94,0,0,59604,98
95,0,0,59607,97
96,0,0,59628,98
97,0,0,59614,97
98,0,0,59644,97
99,0,0,59587,97
100,0,0,59593,97
101,0,0,59615,97
102,0,0,59622,98
103,0,0,59607,97
104,0,0,59620,97
105,0,0,59615,97
106,0,0,59627,98
107,0,0,59615,98
108,0,0,59599,97
109,0,0,59584,98
110,0,0,59609,97
111,0,0,59625,98
112,0,0,59620,98
113,0,0,59625,97
114,0,0,59608,98
115,0,0,59595,97
116,0,0,59618,98
117,0,0,59633,98
118,0,0,59604,98
119,0,0,59588,98
120,0,0,59603,98
121,0,0,59612,97
122,0,0,59612,98
123,0,0,59602,97
124,0,0,59611,98
125,0,0,59623,97
126,0,0,59631,97
127,4,2,59591,98
128,2,2,59637,98
129,0,0,59609,98
130,4,4,59625,98
131,0,0,59617,98
132,0,0,59651,98
133,0,0,59611,98
134,0,0,59586,98
135,0,0,59597,98
136,0,0,59613,98
137,0,0,59598,98
138,0,0,59593,98
139,4,4,59606,97
140,0,0,59594,97
141,0,0,59603,98
142,0,0,59607,98
143,0,0,59586,98
144,0,0,59602,98
145,0,0,59619,97
146,0,0,59594,98
147,0,0,59587,98
148,0,0,59603,98
149,0,0,59613,100
150,0,0,59623,97
151,0,0,59584,98
152,0,0,59605,98
153,0,0,59611,99
154,0,0,59620,97
155,0,0,59620,97
156,0,0,59623,98
157,0,0,59587,97
158,0,0,59603,103
159,4,4,59622,98
160,0,0,59615,98
161,0,0,59619,98
162,0,0,59612,98
163,0,0,59610,97
164,0,0,59591,98
165,0,0,59604,98
166,0,0,59611,101
167,0,0,59598,97
168,0,0,59625,98
169,0,0,59619,98
170,0,0,59626,98
171,0,0,59621,98
172,0,0,59627,98
173,0,0,59616,98
174,0,0,59597,98
175,0,0,59592,98
176,0,0,59623,98
177,0,0,59592,98
178,0,0,59627,98
179,0,0,59614,97
180,0,2,59608,103
181,1,1,59599,104
182,2,2,59603,103
183,0,0,59614,98
184,0,0,59630,98
185,0,1,59610,98
186,2,2,59637,98
187,0,0,59612,98
188,0,0,59622,98
189,3,3,59615,97
190,0,0,59625,97
191,0,0,59623,97
192,0,0,59645,98
193,0,0,59637,98
194,0,0,59631,97
195,0,0,59589,98
196,2,2,59613,97
197,0,0,59613,98
198,0,0,59616,97
199,0,0,59611,98
200,1,1,59616,98
201,0,0,59616,97
202,1,1,59607,98
203,0,0,59591,98
204,0,0,59615,98
205,0,0,59584,98
206,0,0,59622,97
207,0,0,59590,98
208,0,0,59609,98
209,4,4,59612,98
210,0,0,59624,97
211,0,0,59606,97
212,0,0,59624,98
213,0,0,59619,97
214,4,4,59650,98
215,0,0,59616,98
216,0,0,59605,104
217,4,4,59590,97
218,4,4,59593,98
219,0,0,59615,97
220,0,0,59624,97
221,0,0,59611,98
222,0,0,59606,98
223,0,0,59596,98
224,0,0,59591,98
225,4,2,59629,98
226,0,0,59609,98
227,0,0,59588,98
228,0,0,59600,98
229,0,0,59598,98
230,0,0,59617,98
231,0,1,59610,97
232,0,3,59628,97
233,0,0,59619,98
234,0,0,59616,98
235,4,4,59611,97
236,0,0,59629,98
237,0,0,59634,98
238,0,2,59597,97
239,0,0,59600,98
240,0,0,59620,97
241,0,0,59606,97
242,0,0,59617,97
243,4,4,59601,97
244,0,0,59611,98
245,0,0,59589,98
246,2,2,59618,97
247,0,0,59598,98
248,0,0,59601,98
249,0,0,59604,97
250,0,0,59619,98
251,0,0,59605,98
252,2,2,59624,98
253,0,0,59603,98
254,0,0,59608,98
255,0,0,59595,98
256,0,0,59595,98
257,0,0,59619,98
258,0,0,59630,98
259,2,2,59622,98
260,4,4,59637,98
261,0,0,59607,98
262,0,0,59605,98
263,0,0,59627,98
264,2,2,59618,98
265,0,0,59592,98
266,0,0,59637,98
267,4,4,59599,97
268,0,0,59594,98
269,0,0,59597,98
270,0,0,59632,98
271,0,0,59610,97
272,0,0,59613,98
273,0,0,59581,98
274,0,0,59592,98
275,0,0,59624,97
276,0,0,59627,98
277,0,0,59598,98
278,0,0,59613,98
279,2,2,59624,98
280,0,0,59627,98
281,0,0,59646,98
282,0,0,59642,97
283,0,0,59588,98
284,3,3,59626,98
285,0,0,59630,97
286,0,0,59611,98
287,0,0,59591,98
288,0,0,59613,98
289,0,0,59614,98
290,0,0,59593,98
291,0,0,59614,97
292,0,0,59625,97
293,0,0,59637,98
294,0,0,59601,98
295,0,0,59584,98
296,0,0,59597,104
297,0,0,59623,98
298,0,0,59622,98
299,0,0,59618,98
300,0,0,59613,98
301,0,0,59586,98
302,0,0,59612,97
303,2,2,59602,98
304,0,0,59613,98
305,0,0,59617,97
306,0,0,59624,98
307,0,0,59599,97
308,0,0,59634,97
309,2,2,59615,98
310,0,0,59645,98
311,0,0,59594,98
312,0,0,59615,98
313,0,0,59599,98
314,0,0,59616,98
315,0,0,59631,98
316,2,2,59599,98
317,0,0,59651,98
318,4,4,59617,98
319,0,0,59593,98
320,0,0,59620,97
321,0,0,59598,98
322,0,0,59595,97
323,0,0,59600,98
324,0,0,59606,98
325,0,0,59601,98
326,0,0,59604,98
327,0,0,59632,98
328,3,3,59607,98
329,0,0,59612,98
330,0,0,59643,98
331,0,0,59620,98
332,0,0,59610,98
333,2,2,59612,98
334,0,0,59608,104
335,0,0,59630,98
336,2,2,59618,97
337,1,1,59586,98
338,0,0,59604,97
339,0,0,59612,98
340,0,0,59615,98
341,0,0,59604,98
342,0,0,59621,98
343,0,0,59615,98
344,2,2,59624,98
345,0,0,59610,98
346,0,0,59615,98
347,1,0,59620,97
348,0,0,59598,98
349,4,4,59643,98
350,0,0,59646,98
351,0,0,59616,98
352,0,0,59599,97
353,0,0,59612,102
354,0,0,59629,98
355,0,0,59614,97
356,0,0,59598,98
357,2,2,59601,98
358,0,0,59612,98
359,0,0,59607,98
360,2,2,59629,97
361,0,0,59618,98
362,0,0,59620,98
363,0,0,59616,98
364,0,0,59607,98
365,4,4,59586,97
366,0,0,59596,98
367,2,2,59621,98
368,0,0,59592,98
369,2,2,59599,98
370,3,3,59628,98
371,0,0,59606,98
372,0,0,59626,98
373,0,0,59618,98
374,0,0,59623,98
375,0,0,59607,98
376,0,0,59611,98
377,0,0,59609,98
378,0,0,59596,98
379,0,0,59610,98
380,0,0,59597,98
381,0,0,59604,98
382,4,4,59613,98
383,0,0,59624,97
384,0,0,59641,97
385,0,0,59613,97
386,4,4,59630,98
387,0,0,59619,98
388,0,0,59625,97
389,0,0,59614,98
390,0,0,59615,98
391,0,0,59616,97
392,0,0,59642,98
393,0,0,59590,97
394,0,0,59604,98
395,2,2,59600,98
396,0,0,59642,98
397,0,0,59616,98
398,0,0,59625,98
399,0,0,59596,97
400,0,0,59624,98
401,0,0,59615,98
402,0,0,59614,98
403,0,0,59605,98
404,2,2,59612,97
405,2,2,59625,98
406,4,4,59631,98
407,0,0,59624,98
408,0,0,59609,98
409,0,0,59611,97
410,0,0,59622,98
411,0,0,59591,98
412,0,0,59654,97
413,0,0,59648,98
414,0,0,59639,97
415,0,0,59626,98
416,0,0,59633,98
417,0,0,59618,97
418,0,0,59634,98
419,0,0,59582,98
420,0,0,59605,98
421,0,0,59624,98
422,0,0,59640,98
423,0,0,59631,98
424,0,0,59619,97
425,0,0,59639,98
426,0,0,59628,98
427,0,0,59613,98
428,0,0,59608,98
429,0,0,59599,98
430,0,0,59606,98
431,0,0,59598,98
432,2,2,59616,98
433,4,4,59609,97
434,0,0,59609,98
435,0,0,59601,98
436,0,0,59607,97
437,0,0,59603,98
438,0,0,59606,97
439,0,0,59615,98
440,0,0,59597,98
441,0,0,59583,98
442,0,0,59593,98
443,0,0,59612,98
444,4,4,59631,97
445,0,0,59593,98
446,0,0,59608,98
447,2,2,59610,98
448,0,0,59645,98
449,0,0,59629,97
450,0,0,59604,98
451,0,0,59585,98
452,0,0,59614,98
453,0,0,59612,98
454,0,0,59607,98
455,0,1,59602,97
456,0,0,59638,98
457,0,0,59615,98
458,0,0,59626,98
459,1,1,59619,98
460,0,0,59595,98
461,0,0,59597,98
462,2,2,59631,98
463,2,2,59617,98
464,0,0,59653,97
465,0,0,59621,97
466,1,1,59627,98
467,0,0,59623,98
468,0,0,59627,97
469,0,0,59609,98
470,4,4,59640,97
471,0,0,59644,98
472,0,0,59632,98
473,0,0,59626,97
474,0,0,59624,98
475,0,0,59622,98
476,2,2,59603,97
477,2,2,59636,97
478,0,0,59615,97
479,0,0,59625,98
480,0,0,59616,98
481,0,0,59589,97
482,0,0,59603,98
483,0,0,59630,98
484,2,2,59646,98
485,2,2,59604,97
486,0,0,59628,98
487,0,0,59617,98
488,0,0,59618,98
489,0,0,59620,98
490,0,0,59632,98
491,4,4,59607,98
492,0,0,59614,98
493,0,0,59603,97
494,0,0,59618,97
495,0,0,59589,98
496,0,0,59600,98
497,0,0,59630,98
498,0,0,59634,97
499,0,0,59620,98
